Übung,Rubrik,Seite,Körperpartie,Bildlink,Sound,Max Zeit,Mind Zeit,Beschreibung
Pike Push-Ups,Übung,Nein,"Brust, Schulter, Arme",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in eine umgedrehte V-Position (Hüfte hoch, Beine gestreckt, Hände schulterbreit).
2. Körperhaltung: Kopf zwischen den Armen, Blick Richtung Füße, Rücken gerade.
3. Bewegung: Beuge die Arme und senke den Kopf kontrolliert Richtung Boden – bis fast mit der Stirn den Boden berühren.
4. Drücken: Drücke dich wieder zurück in die V-Position.
5. Tipp: Je steiler der Winkel, desto mehr Belastung auf den Schultern.
"
Superman Y,Übung,Nein,"Rücken, Schulter",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"Lege dich mit dem Gesicht nach unten auf den Boden, strecke die Beine nach hinten und die Arme diagonal nach vorne aus, sodass dein Körper ein „Y“ bildet."
Superman T,Übung,Nein,"Rücken, Schulter",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"Lege dich mit dem Gesicht nach unten auf den Boden, strecke die Beine nach hinten und die Arme diagonal nach vorne aus, sodass dein Körper ein „T“ bildet."
Superman Hold,Übung,Nein,"Rücken, Schulter, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Lege dich flach auf den Bauch, die Arme ausgestreckt nach hinten.
2. Hebe langsam Arme und Beine gleichzeitig vom Boden ab und halte die Position für ein paar Sekunden, bis du eine starke Spannung im Rumpf und Rücken spürst.
3. Kehre kontrolliert in die Ausgangsposition zurück."
Superman Swimming,Übung,Nein,"Rücken, Schulter, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Lege dich flach auf den Bauch, die Arme ausgestreckt nach vorne.
2. Hebe langsam Arme und Beine gleichzeitig vom Boden ab und halte die Position für ein paar Sekunden, bis du eine starke Spannung im Rumpf und Rücken spürst.
3. Kehre kontrolliert in die Ausgangsposition zurück."
Handstand Wand,Übung,Nein,"Rücken, Schulter, Arme, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Vorbereitung: Stelle dich ca. 20–30 cm vor eine stabile Wand, Hände schulterbreit auf den Boden.
2. Aufschwingen: Schwinge ein Bein kontrolliert nach oben, das andere folgt – die Füße berühren die Wand.
3. Position halten: Arme gestreckt, Körper in einer Linie, Bauch und Gesäß angespannt.
4. Atmung: Ruhig und gleichmäßig atmen, nicht die Luft anhalten.
5. Abstieg: Kontrolliert ein Bein nach dem anderen absenken.
"
Shoulder Taps Plank,Übung,Nein,"Rücken, Schulter, Arme, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in eine hohe Plank-Position (Liegestützposition) – Hände unter den Schultern, Körper gerade wie ein Brett.
2. Bewegung: Hebe eine Hand vom Boden und tippe kontrolliert auf die gegenüberliegende Schulter.
3. Stabil bleiben: Vermeide ein Wackeln im Becken – Hüfte möglichst ruhig halten.
4. Wechsel: Senke die Hand zurück und wiederhole mit der anderen Seite – abwechselnd.
"
Arm Circles,Dehnen,Nein,"Schulter, Brust, Arme",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,30,60,"1. Startposition: Stelle dich aufrecht hin, Füße hüftbreit, Arme seitlich gestreckt auf Schulterhöhe.
2. Bewegung:
- Führe kleine, kontrollierte Kreisbewegungen mit den Armen durch.
- Erst vorwärts, dann rückwärts.
- Kreisgröße und Geschwindigkeit langsam steigern
"
Wandsitz,Übung,Nein,"Beine, Gesäß",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,30,60,"1. Ausgangsposition: Lehne dich mit dem Rücken flach gegen eine Wand, Füße etwa schulterbreit und 50–60 cm von der Wand entfernt.
2. Bewegung: Rutsche langsam an der Wand herunter, bis deine Knie einen 90°-Winkel bilden – als würdest du auf einem unsichtbaren Stuhl sitzen.
3. Halten: Rücken bleibt an der Wand, Oberschenkel parallel zum Boden. Halte diese Position für 20–60 Sekunden.
4. Wichtig: Knie über den Fußgelenken, nicht über die Zehen hinausragen lassen.
"
Glute Bridge,Übung,Nein,"Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich auf den Rücken, Beine angewinkelt, Füße flach auf dem Boden – etwa hüftbreit. Arme seitlich neben dem Körper.
2. Bewegung: Hebe dein Becken kontrolliert nach oben, bis dein Körper von den Schultern bis zu den Knien eine gerade Linie bildet.
3. Oben halten: Gesäß maximal anspannen und Position 1–2 Sekunden halten.
4. Rückkehr: Senke das Becken langsam und kontrolliert wieder ab – nicht ablegen, direkt wieder hochgehen (für Wiederholungen).
"
Donkey Kicks,Übung,Ja,"Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in den Vierfüßlerstand – Hände unter den Schultern, Knie unter der Hüfte, Rücken gerade.
2. Bewegung: Hebe ein Bein angewinkelt nach hinten oben, so als würdest du mit der Fußsohle gegen die Decke treten.
3. Oben halten: Gesäß aktiv anspannen, kurz halten.
4. Rückkehr: Senke das Bein kontrolliert zurück, ohne es ganz abzulegen.
5. Wiederholen: Mehrere Wiederholungen pro Seite, dann Wechsel.
"
Fire Hydrants,Übung,Ja,"Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in den Vierfüßlerstand – Hände unter den Schultern, Knie unter der Hüfte, Rücken gerade.
2. Bewegung: Hebe ein angewinkeltes Bein seitlich nach oben, als würdest du eine „Feuerhydranten“-Bewegung machen (das Knie bleibt gebeugt, öffnet sich zur Seite).
3. Oben halten: Spanne das Gesäß an, halte kurz die Position.
4. Rückkehr: Senke das Bein kontrolliert zurück in die Ausgangsposition.
5. Wiederholen: Mehrere Wiederholungen pro Seite, dann Seitenwechsel.
"
Calf Raises,Übung,Nein,"Beine, Waden",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Stelle dich aufrecht hin, Füße hüftbreit, optional an einer Wand oder Stuhllehne festhalten.
2. Bewegung: Hebe beide Fersen langsam vom Boden ab, bis du auf den Fußballen stehst.
3. Oben halten: Spanne die Waden an und halte die Position 1–2 Sekunden.
4. Rückkehr: Senke die Fersen kontrolliert wieder ab – nicht fallen lassen.
5. Tipp: Für mehr Intensität auf einer Treppenstufe ausführen oder einbeinig.
"
Plank,Übung,Nein,"Bauch, Rücken, Brust, Schulter",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,30,60,"1. Startposition: Lege dich auf den Bauch und stütze dich auf deine Unterarme (Ellbogen unter den Schultern), Zehen aufgestellt.
2. Bewegung: Hebe deinen Körper an, sodass du eine gerade Linie von Kopf bis Ferse bildest – kein Hohlkreuz, kein Po in der Luft.
3. Halten: Spanne den Core, die Gesäßmuskeln und die Oberschenkel an. Halte diese Position für 20–60 Sekunden (oder länger).
4. Wichtig: Blick zum Boden, Nacken lang, Atmung nicht vergessen.
"
